Animal,Channel,Baseline_Entropy_Mean,Entropy_Mean,Baseline_Entropy_Std,Entropy_Std,Event_type,Coact_Type,,Animal_Type
pig1670,channel4,0.316192208,0.3037827,0.084664703,0.091725603,Event,Coact_STD,,HF
pig1670,channel4,0.316192208,0.317467952,0.084664703,0.083801036,Non Event,Coact_STD,,HF
pig1670,channel5,0.315309293,0.288001791,0.088571455,0.112902882,Event,Coact_Mean,,HF
pig1670,channel5,0.315309293,0.320075694,0.088571455,0.082682382,Non Event,Coact_Mean,,HF
pig1670,channel5,0.315309293,0.307204953,0.088571455,0.107033024,Event,Coact_STD,,HF
pig1670,channel5,0.315309293,0.316108701,0.088571455,0.086496136,Non Event,Coact_STD,,HF
pig1670,channel6,0.287847573,0.284204762,0.064757063,0.073850924,Event,Coact_Mean,,HF
pig1670,channel6,0.287847573,0.288476745,0.064757063,0.063032406,Non Event,Coact_Mean,,HF
pig1670,channel6,0.287847573,0.29543352,0.064757063,0.081369874,Event,Coact_STD,,HF
pig1670,channel6,0.287847573,0.287168366,0.064757063,0.063011986,Non Event,Coact_STD,,HF
pig1670,channel7,0.299012429,0.299982744,0.071609535,0.083916674,Event,Coact_Mean,,HF
pig1670,channel7,0.299012429,0.298853261,0.071609535,0.069381292,Non Event,Coact_Mean,,HF
pig1670,channel7,0.299012429,0.304896636,0.071609535,0.079800155,Event,Coact_STD,,HF
